customer_id,account_id,customer_name,email,country,city,signup_date,acquisition_channel,customer_segment,company_size,industry,status,updated_at
CUST-000028,ACC-000028,"Hoffman, Baker and Richards",contact28@hoffmanbakerandric.example,Spain,Barcelona,2025-11-25,Paid Search,Startup,201-1000,Retail,Active,2026-01-20 00:00:00
CUST-000029,ACC-000029,"Ross, Robinson and Bright",contact29@rossrobinsonandbri.example,France,Marseille,2025-01-19,Partner,SMB,11-50,Retail,Active,2025-03-09 00:00:00
CUST-000030,ACC-000030,"Snyder, Campos and Callahan",contact30@snydercamposandcal.example,Germany,Munich,2024-09-07,Organic,SMB,201-1000,Financial Services,Active,2024-09-17 00:00:00
CUST-000031,ACC-000031,Burton Ltd,contact31@burtonltd.example,Germany,Hamburg,2025-02-10,Paid Search,SMB,201-1000,Healthcare,Active,2025-04-16 00:00:00
CUST-000032,ACC-000032,Carlson-Cruz,contact32@carlson-cruz.example,Canada,Toronto,2024-05-09,Paid Search,SMB,51-200,Telecommunications,Active,2024-05-14 00:00:00
CUST-000033,ACC-000033,"Ferrell, Rice and Maddox",contact33@ferrellriceandmadd.example,United States,Chicago,2024-03-07,Organic,SMB,201-1000,Professional Services,Active,2024-06-05 00:00:00
CUST-000034,ACC-000034,Frazier Inc,contact34@frazierinc.example,France,Lyon,2025-05-10,Paid Search,Enterprise,51-200,Financial Services,Active,2025-05-24 00:00:00
CUST-000035,ACC-000035,"Dyer, Potter and Mack",contact35@dyerpotterandmack.example,Australia,Sydney,2025-12-21,Referral,Startup,51-200,Manufacturing,Active,2026-01-30 00:00:00
CUST-000036,ACC-000036,Rodriguez-Graham,contact36@rodriguez-graham.example,United States,Chicago,2025-09-10,Referral,SMB,1-10,Financial Services,Active,2025-11-23 00:00:00
CUST-000037,ACC-000037,Smith-Bowen,contact37@smith-bowen.example,Spain,Bilbao,2025-03-02,Paid Social,SMB,201-1000,Manufacturing,Active,2025-04-17 00:00:00
CUST-000038,ACC-000038,"Baker, Mason and White",contact38@bakermasonandwhite.example,Spain,Madrid,2024-01-30,Email,Mid-Market,1001-5000,Financial Services,Active,2024-04-06 00:00:00
CUST-000039,ACC-000039,Harrell LLC,contact39@harrellllc.example,United Kingdom,Birmingham,2025-12-23,Paid Search,Enterprise,11-50,Professional Services,Active,2026-02-25 00:00:00
CUST-000040,ACC-000040,"Romero, Gonzalez and Brooks",contact40@romerogonzalezandb.example,Netherlands,The Hague,2024-11-24,Paid Social,SMB,51-200,Education,Active,2025-02-18 00:00:00
CUST-000041,ACC-000041,Ryan PLC,contact41@ryanplc.example,Canada,Calgary,2024-07-30,Partner,SMB,1-10,Professional Services,Active,2024-09-10 00:00:00
CUST-000042,ACC-000042,George Group,contact42@georgegroup.example,Spain,Bilbao,2025-10-14,Email,Mid-Market,1-10,Manufacturing,Active,2026-01-11 00:00:00
CUST-000043,ACC-000043,Rodriguez LLC,contact43@rodriguezllc.example,Netherlands,Utrecht,2025-06-29,Partner,Mid-Market,5000+,Healthcare,Active,2025-08-15 00:00:00
CUST-000044,ACC-000044,Allen-Allen,contact44@allen-allen.example,United Kingdom,Manchester,2025-07-01,Paid Social,Mid-Market,51-200,Healthcare,Active,2025-09-20 00:00:00
CUST-000045,ACC-000045,"Arroyo, Miller and Tucker",contact45@arroyomillerandtuc.example,United States,Chicago,2024-07-22,Paid Social,SMB,51-200,Healthcare,Active,2024-09-26 00:00:00
CUST-000046,ACC-000046,Spence PLC,contact46@spenceplc.example,Australia,Sydney,2025-12-26,Organic,Mid-Market,11-50,Manufacturing,Active,2026-01-07 00:00:00
CUST-000047,ACC-000047,Anderson Group,contact47@andersongroup.example,Germany,Munich,2024-11-27,Organic,Startup,5000+,Manufacturing,Active,2025-01-24 00:00:00
CUST-000048,ACC-000048,"Martin, Rose and Obrien",contact48@martinroseandobrie.example,Australia,Perth,2025-01-23,Direct,Enterprise,11-50,Professional Services,Active,2025-04-12 00:00:00
CUST-000049,ACC-000049,Hickman Ltd,contact49@hickmanltd.example,Netherlands,Eindhoven,2025-07-02,Paid Search,Mid-Market,201-1000,Technology,Active,2025-07-13 00:00:00
CUST-000050,ACC-000050,"Harris, Collins and Carney",contact50@harriscollinsandca.example,Spain,Madrid,2025-04-27,Partner,Mid-Market,51-200,Healthcare,Active,2025-07-12 00:00:00
CUST-000051,ACC-000051,"Brooks, Lam and Hayes",contact51@brookslamandhayes.example,Spain,Valencia,2024-05-05,Partner,SMB,1-10,Logistics,Active,2024-05-14 00:00:00
CUST-000052,ACC-000052,Walker LLC,contact52@walkerllc.example,Canada,Vancouver,2024-08-09,Email,SMB,201-1000,Telecommunications,Active,2024-10-27 00:00:00
CUST-000053,ACC-000053,Chapman and Sons,contact53@chapmanandsons.example,United Kingdom,Birmingham,2024-09-21,Paid Social,SMB,1-10,Telecommunications,Active,2024-12-01 00:00:00
CUST-000054,ACC-000054,"Robinson, Jones and Welch",contact54@robinsonjonesandwe.example,Germany,Cologne,2025-11-23,Organic,Startup,201-1000,Retail,Active,2025-12-06 00:00:00
CUST-000055,ACC-000055,Jones Inc,contact55@jonesinc.example,Germany,Berlin,2025-06-06,Paid Social,Mid-Market,11-50,Financial Services,Active,2025-08-11 00:00:00
CUST-000056,ACC-000056,Jones-Young,contact56@jones-young.example,United States,San Francisco,2024-09-24,Referral,SMB,201-1000,Financial Services,Active,2024-10-04 00:00:00
CUST-000057,ACC-000057,"Washington, Ryan and Cummings",contact57@washingtonryanandc.example,France,Marseille,2025-06-21,Organic,Enterprise,201-1000,Financial Services,Inactive,2025-08-11 00:00:00
CUST-000058,ACC-000058,"Johnston, Sanchez and Kennedy",contact58@johnstonsanchezand.example,Canada,Calgary,2025-06-23,Direct,Mid-Market,201-1000,Telecommunications,Active,2025-09-15 00:00:00
CUST-000059,ACC-000059,Lee-Davis,contact59@lee-davis.example,Netherlands,Utrecht,2024-10-15,Email,Mid-Market,1-10,Logistics,Active,2024-11-02 00:00:00
CUST-000060,ACC-000060,Gomez-Jenkins,contact60@gomez-jenkins.example,Netherlands,Rotterdam,2024-10-21,Organic,Enterprise,201-1000,Logistics,Inactive,2024-11-05 00:00:00
CUST-000061,ACC-000061,"Brown, Valdez and Lucas",contact61@brownvaldezandluca.example,Australia,Perth,2025-10-15,Referral,SMB,5000+,Media,Churned,2025-11-22 00:00:00
CUST-000062,ACC-000062,Powell LLC,contact62@powellllc.example,Netherlands,Eindhoven,2025-02-14,Organic,SMB,11-50,Retail,Active,2025-03-19 00:00:00
CUST-000063,ACC-000063,Wright and Sons,contact63@wrightandsons.example,United Kingdom,London,2024-04-19,Partner,SMB,11-50,Manufacturing,Inactive,2024-04-23 00:00:00
CUST-000064,ACC-000064,"West, Henderson and Ramirez",contact64@westhendersonandra.example,Australia,Perth,2025-06-10,Paid Search,SMB,1001-5000,Logistics,Inactive,2025-07-21 00:00:00
CUST-000065,ACC-000065,Baxter Inc,contact65@baxterinc.example,Germany,Frankfurt,2025-03-06,Direct,SMB,11-50,Logistics,Active,2025-03-29 00:00:00
CUST-000066,ACC-000066,Morton-Chase,contact66@morton-chase.example,United Kingdom,Manchester,2025-01-07,Partner,Mid-Market,201-1000,Education,Active,2025-01-18 00:00:00
CUST-000067,ACC-000067,Williams PLC,contact67@williamsplc.example,Australia,Adelaide,2025-06-14,Partner,Enterprise,201-1000,Logistics,Active,2025-07-09 00:00:00
CUST-000068,ACC-000068,Novak and Sons,contact68@novakandsons.example,United Kingdom,Bristol,2025-10-25,Organic,Enterprise,1-10,Retail,Active,2025-10-26 00:00:00
CUST-000069,ACC-000069,Russell Group,contact69@russellgroup.example,United States,Austin,2024-08-29,Partner,SMB,201-1000,Manufacturing,Active,2024-11-20 00:00:00
CUST-000070,ACC-000070,Hancock Inc,contact70@hancockinc.example,Germany,Berlin,2024-11-02,Paid Social,Startup,201-1000,Logistics,Active,2025-01-31 00:00:00
CUST-000071,ACC-000071,Gray Group,contact71@graygroup.example,Spain,Seville,2024-05-18,Referral,Enterprise,51-200,Retail,Active,2024-06-20 00:00:00
CUST-000072,ACC-000072,House-Glover,contact72@house-glover.example,Canada,Vancouver,2025-04-18,Paid Search,SMB,1001-5000,Media,Active,2025-07-06 00:00:00
CUST-000073,ACC-000073,Henderson-Bernard,contact73@henderson-bernard.example,Germany,Frankfurt,2024-10-21,Paid Social,SMB,11-50,Manufacturing,Active,2024-12-01 00:00:00
CUST-000074,ACC-000074,"Stanley, Tucker and Lee",contact74@stanleytuckerandle.example,Canada,Montreal,2024-09-07,Organic,SMB,51-200,Healthcare,Active,2024-11-29 00:00:00
CUST-000075,ACC-000075,Novak PLC,contact75@novakplc.example,Netherlands,Utrecht,2025-05-24,Paid Social,SMB,1001-5000,Healthcare,Active,2025-06-08 00:00:00
CUST-000076,ACC-000076,"Daniels, Adkins and Brown",contact76@danielsadkinsandbr.example,Germany,Berlin,2024-10-25,Organic,SMB,11-50,Professional Services,Active,2024-11-19 00:00:00
CUST-000077,ACC-000077,"Woods, Calhoun and Schmidt",contact77@woodscalhounandsch.example,United Kingdom,Bristol,2024-12-05,Partner,SMB,1001-5000,Manufacturing,Active,2025-02-10 00:00:00
CUST-000078,ACC-000078,Yu Inc,contact78@yuinc.example,Canada,Toronto,2024-11-17,Paid Social,SMB,1-10,Retail,Active,2024-12-07 00:00:00
CUST-000079,ACC-000079,Jones Inc,contact79@jonesinc.example,France,Marseille,2024-07-07,Referral,Enterprise,51-200,Media,Churned,2024-09-19 00:00:00
CUST-000080,ACC-000080,"Hensley, Powell and David",contact80@hensleypowellandda.example,Netherlands,The Hague,2024-04-01,Paid Search,Startup,1-10,Technology,Inactive,2024-05-09 00:00:00
CUST-000081,ACC-000081,"Sanchez, Wheeler and Harvey",contact81@sanchezwheelerandh.example,Australia,Adelaide,2025-08-27,Referral,Enterprise,201-1000,Technology,Inactive,2025-10-02 00:00:00
CUST-000082,ACC-000082,Sandoval-Cunningham,contact82@sandoval-cunningha.example,Germany,Cologne,2024-03-08,Referral,SMB,1001-5000,Telecommunications,Active,2024-04-18 00:00:00
CUST-000083,ACC-000083,Donovan-Harris,contact83@donovan-harris.example,Canada,Ottawa,2024-08-25,Organic,Enterprise,1001-5000,Professional Services,Active,2024-11-05 00:00:00
CUST-000084,ACC-000084,"Edwards, Baker and Anderson",contact84@edwardsbakerandand.example,Spain,Valencia,2025-05-02,Referral,Mid-Market,5000+,Education,Active,2025-05-02 00:00:00
CUST-000085,ACC-000085,"Evans, Stewart and Walton",contact85@evansstewartandwal.example,Netherlands,Rotterdam,2024-04-05,Partner,Enterprise,201-1000,Technology,Active,2024-06-12 00:00:00
CUST-000086,ACC-000086,Smith PLC,contact86@smithplc.example,Netherlands,The Hague,2025-04-24,Partner,Mid-Market,201-1000,Education,Inactive,2025-07-03 00:00:00
CUST-000087,ACC-000087,"Ferrell, Jones and Lewis",contact87@ferrelljonesandlew.example,United States,San Francisco,2025-06-19,Organic,Mid-Market,51-200,Manufacturing,Active,2025-09-01 00:00:00
CUST-000088,ACC-000088,Anderson-Bailey,contact88@anderson-bailey.example,United Kingdom,Edinburgh,2025-04-29,Organic,Enterprise,1001-5000,Education,Active,2025-07-28 00:00:00
CUST-000089,ACC-000089,Suarez LLC,contact89@suarezllc.example,Spain,Seville,2024-08-10,Referral,Mid-Market,201-1000,Technology,Active,2024-10-20 00:00:00
CUST-000090,ACC-000090,Moore-Bass,contact90@moore-bass.example,Spain,Madrid,2024-01-15,Paid Social,Mid-Market,1001-5000,Education,Active,2024-03-03 00:00:00
CUST-000091,ACC-000091,"Turner, Riggs and Roman",contact91@turnerriggsandroma.example,Germany,Hamburg,2025-10-10,Partner,SMB,11-50,Education,Active,2025-11-21 00:00:00
CUST-000092,ACC-000092,"Smith, Montoya and Evans",contact92@smithmontoyaandeva.example,Spain,Valencia,2024-08-26,Paid Social,Startup,51-200,Healthcare,Active,2024-09-30 00:00:00
CUST-000093,ACC-000093,"Garcia, Humphrey and Baker",contact93@garciahumphreyandb.example,Spain,Bilbao,2025-08-11,Partner,SMB,201-1000,Technology,Inactive,2025-10-25 00:00:00
CUST-000094,ACC-000094,Newton and Sons,contact94@newtonandsons.example,Germany,Munich,2024-05-24,Paid Search,Enterprise,11-50,Telecommunications,Active,2024-06-28 00:00:00
CUST-000095,ACC-000095,Campbell-Clark,contact95@campbell-clark.example,Australia,Melbourne,2024-04-28,Paid Search,Mid-Market,11-50,Media,Active,2024-06-19 00:00:00
CUST-000096,ACC-000096,Harris-Walters,contact96@harris-walters.example,United Kingdom,London,2025-07-22,Direct,Startup,5000+,Professional Services,Active,2025-07-30 00:00:00
CUST-000097,ACC-000097,Wagner-King,contact97@wagner-king.example,Canada,Ottawa,2025-11-17,Partner,Enterprise,51-200,Media,Active,2025-12-15 00:00:00
CUST-000098,ACC-000098,Davis Group,contact98@davisgroup.example,Netherlands,Eindhoven,2025-09-21,Partner,Mid-Market,11-50,Professional Services,Active,2025-10-15 00:00:00
CUST-000099,ACC-000099,Williams-Cook,contact99@williams-cook.example,Netherlands,Amsterdam,2025-07-03,Direct,Startup,51-200,Financial Services,Active,2025-08-11 00:00:00
CUST-000100,ACC-000100,Walsh LLC,contact100@walshllc.example,Canada,Montreal,2024-06-29,Organic,Startup,51-200,Manufacturing,Active,2024-08-13 00:00:00
CUST-000101,ACC-000101,Figueroa PLC,contact101@figueroaplc.example,Spain,Valencia,2025-10-29,Paid Social,Mid-Market,201-1000,Logistics,Inactive,2026-01-02 00:00:00
CUST-000102,ACC-000102,"Patterson, Smith and Jones",contact102@pattersonsmithandj.example,Canada,Montreal,2025-05-03,Paid Search,SMB,5000+,Healthcare,Active,2025-06-11 00:00:00
CUST-000103,ACC-000103,"Mckee, Gardner and Davenport",contact103@mckeegardneranddav.example,Spain,Bilbao,2024-05-05,Organic,Mid-Market,5000+,Telecommunications,Active,2024-05-18 00:00:00
CUST-000104,ACC-000104,"Tran, Jordan and Williams",contact104@tranjordanandwilli.example,United States,New York,2024-04-04,Paid Social,SMB,201-1000,Technology,Active,2024-05-23 00:00:00
CUST-000105,ACC-000105,Nolan-Flynn,contact105@nolan-flynn.example,Spain,Barcelona,2025-09-28,Direct,Enterprise,201-1000,Retail,Active,2025-10-02 00:00:00
CUST-000106,ACC-000106,Nolan and Sons,contact106@nolanandsons.example,Spain,Madrid,2024-07-20,Paid Search,Enterprise,51-200,Retail,Active,2024-10-05 00:00:00
CUST-000107,ACC-000107,"Wright, Garcia and Deleon",contact107@wrightgarciaanddel.example,Spain,Barcelona,2025-07-13,Paid Search,SMB,1001-5000,Professional Services,Churned,2025-09-21 00:00:00
CUST-000108,ACC-000108,Dickson-Brady,contact108@dickson-brady.example,Netherlands,The Hague,2024-04-11,Paid Social,Mid-Market,11-50,Financial Services,Active,2024-05-01 00:00:00
CUST-000109,ACC-000109,Hancock and Sons,contact109@hancockandsons.example,Germany,Cologne,2024-07-24,Paid Search,SMB,11-50,Healthcare,Active,2024-08-16 00:00:00
CUST-000110,ACC-000110,Johnson-Doyle,contact110@johnson-doyle.example,Netherlands,Amsterdam,2024-07-26,Paid Social,Mid-Market,5000+,Professional Services,Active,2024-07-28 00:00:00
CUST-000111,ACC-000111,Patton-Jenkins,contact111@patton-jenkins.example,United Kingdom,Bristol,2024-07-24,Email,Startup,1001-5000,Healthcare,Active,2024-08-26 00:00:00
CUST-000112,ACC-000112,"Shields, Cochran and Adams",contact112@shieldscochrananda.example,Spain,Barcelona,2025-05-08,Paid Social,SMB,51-200,Logistics,Active,2025-05-11 00:00:00
CUST-000113,ACC-000113,"Rodriguez, Brennan and Garrison",contact113@rodriguezbrennanan.example,France,Paris,2025-10-30,Email,SMB,201-1000,Logistics,Active,2026-01-23 00:00:00
CUST-000114,ACC-000114,Gonzalez Group,contact114@gonzalezgroup.example,Germany,Munich,2025-10-27,Partner,SMB,51-200,Retail,Active,2025-11-08 00:00:00
CUST-000115,ACC-000115,Torres-Pope,contact115@torres-pope.example,France,Paris,2025-06-26,Email,Mid-Market,51-200,Education,Active,2025-08-25 00:00:00
CUST-000116,ACC-000116,Walker Ltd,contact116@walkerltd.example,France,Marseille,2024-05-28,Email,SMB,51-200,Retail,Active,2024-07-18 00:00:00
CUST-000117,ACC-000117,Ross LLC,contact117@rossllc.example,United States,San Francisco,2025-12-03,Paid Social,Mid-Market,11-50,Retail,Active,2025-12-24 00:00:00
CUST-000118,ACC-000118,Rasmussen LLC,contact118@rasmussenllc.example,Canada,Montreal,2025-01-31,Paid Search,Startup,201-1000,Professional Services,Active,2025-04-14 00:00:00
CUST-000119,ACC-000119,May-Ross,contact119@may-ross.example,Canada,Calgary,2025-02-03,Paid Social,SMB,51-200,Healthcare,Churned,2025-02-12 00:00:00
CUST-000120,ACC-000120,"Rivera, Johnson and Wiley",contact120@riverajohnsonandwi.example,United States,Seattle,2025-05-27,Direct,Startup,51-200,Financial Services,Active,2025-08-15 00:00:00
CUST-000121,ACC-000121,White-Estes,contact121@white-estes.example,Germany,Berlin,2025-07-16,Email,Startup,11-50,Healthcare,Active,2025-09-21 00:00:00
CUST-000122,ACC-000122,Johnson-Carlson,contact122@johnson-carlson.example,Netherlands,Amsterdam,2025-11-27,Paid Social,Startup,5000+,Telecommunications,Active,2026-01-23 00:00:00
CUST-000123,ACC-000123,Chandler-Edwards,contact123@chandler-edwards.example,Netherlands,Rotterdam,2025-03-01,Organic,Mid-Market,201-1000,Healthcare,Active,2025-05-20 00:00:00
CUST-000124,ACC-000124,"Joyce, Wilson and Lam",contact124@joycewilsonandlam.example,Germany,Munich,2025-03-21,Partner,Startup,1001-5000,Retail,Active,2025-04-26 00:00:00
CUST-000125,ACC-000125,Scott Ltd,contact125@scottltd.example,Spain,Bilbao,2025-06-28,Email,SMB,11-50,Professional Services,Active,2025-07-23 00:00:00
CUST-000126,ACC-000126,Smith-Frost,contact126@smith-frost.example,France,Lille,2024-07-05,Email,Mid-Market,201-1000,Financial Services,Active,2024-07-19 00:00:00
CUST-000127,ACC-000127,"Mcdaniel, Bentley and Mclaughlin",contact127@mcdanielbentleyand.example,United States,San Francisco,2024-08-12,Partner,SMB,1001-5000,Healthcare,Active,2024-11-04 00:00:00
CUST-000128,ACC-000128,Diaz Inc,contact128@diazinc.example,Spain,Seville,2025-04-02,Email,Mid-Market,51-200,Financial Services,Active,2025-05-08 00:00:00
CUST-000129,ACC-000129,"Mccall, Hanson and Alvarado",contact129@mccallhansonandalv.example,France,Marseille,2024-02-16,Email,Mid-Market,11-50,Telecommunications,Active,2024-05-01 00:00:00
CUST-000130,ACC-000130,Cortez LLC,contact130@cortezllc.example,Netherlands,Eindhoven,2024-08-22,Paid Search,Mid-Market,11-50,Telecommunications,Active,2024-09-21 00:00:00
CUST-000131,ACC-000131,"Parker, Ortiz and Powell",contact131@parkerortizandpowe.example,France,Marseille,2025-06-08,Paid Search,Enterprise,11-50,Media,Active,2025-09-02 00:00:00
CUST-000132,ACC-000132,Spencer-Lee,contact132@spencer-lee.example,France,Toulouse,2025-12-14,Direct,SMB,51-200,Healthcare,Inactive,2026-03-03 00:00:00
CUST-000133,ACC-000133,"Bentley, Byrd and Orr",contact133@bentleybyrdandorr.example,United States,Chicago,2025-01-14,Email,Startup,51-200,Professional Services,Active,2025-02-11 00:00:00
CUST-000134,ACC-000134,"Carroll, Sullivan and Bass",contact134@carrollsullivanand.example,France,Toulouse,2024-10-19,Organic,SMB,11-50,Professional Services,Active,2024-12-02 00:00:00
CUST-000135,ACC-000135,Mitchell-Jordan,contact135@mitchell-jordan.example,Spain,Seville,2024-11-17,Email,SMB,201-1000,Logistics,Churned,2025-01-28 00:00:00
CUST-000136,ACC-000136,"Lawson, Morris and Ramos",contact136@lawsonmorrisandram.example,United Kingdom,London,2025-05-16,Paid Search,Mid-Market,1-10,Financial Services,Active,2025-06-05 00:00:00
CUST-000137,ACC-000137,"Lewis, Kennedy and Santana",contact137@lewiskennedyandsan.example,France,Toulouse,2025-02-02,Partner,Mid-Market,51-200,Media,Active,2025-02-04 00:00:00
CUST-000138,ACC-000138,"Jackson, Miller and Robertson",contact138@jacksonmillerandro.example,United States,Austin,2024-01-17,Paid Social,Mid-Market,201-1000,Financial Services,Inactive,2024-02-12 00:00:00
CUST-000139,ACC-000139,"Harvey, Davis and Crane",contact139@harveydavisandcran.example,United Kingdom,Bristol,2025-01-29,Partner,SMB,11-50,Education,Active,2025-03-23 00:00:00
CUST-000140,ACC-000140,Chambers and Sons,contact140@chambersandsons.example,Germany,Hamburg,2024-10-19,Organic,Mid-Market,11-50,Logistics,Active,2024-10-31 00:00:00
CUST-000141,ACC-000141,Hernandez Inc,contact141@hernandezinc.example,Australia,Adelaide,2025-05-27,Paid Social,SMB,11-50,Technology,Active,2025-06-26 00:00:00
CUST-000142,ACC-000142,Riggs PLC,contact142@riggsplc.example,Canada,Vancouver,2025-10-01,Paid Search,SMB,1-10,Financial Services,Active,2025-12-23 00:00:00
CUST-000143,ACC-000143,Gibson Ltd,contact143@gibsonltd.example,United Kingdom,Edinburgh,2025-12-04,Partner,SMB,51-200,Logistics,Active,2025-12-10 00:00:00
CUST-000144,ACC-000144,"Lee, Horton and Snyder",contact144@leehortonandsnyder.example,Germany,Cologne,2025-03-22,Paid Search,Startup,1-10,Technology,Active,2025-03-26 00:00:00
CUST-000145,ACC-000145,Hernandez Ltd,contact145@hernandezltd.example,Australia,Melbourne,2024-09-22,Paid Search,Mid-Market,11-50,Professional Services,Active,2024-10-30 00:00:00
CUST-000146,ACC-000146,Stafford Inc,contact146@staffordinc.example,Spain,Valencia,2024-11-20,Referral,Startup,5000+,Education,Active,2024-11-21 00:00:00
CUST-000147,ACC-000147,Robinson-Brock,contact147@robinson-brock.example,United States,Seattle,2024-05-08,Paid Social,SMB,1001-5000,Retail,Active,2024-05-10 00:00:00
CUST-000148,ACC-000148,"Holmes, Williams and Wright",contact148@holmeswilliamsandw.example,Canada,Calgary,2025-11-15,Organic,SMB,11-50,Logistics,Active,2025-12-01 00:00:00
CUST-000149,ACC-000149,Bryant Group,contact149@bryantgroup.example,Spain,Seville,2025-09-11,Paid Social,SMB,51-200,Logistics,Inactive,2025-09-20 00:00:00
CUST-000150,ACC-000150,"Schmidt, Hansen and Stewart",contact150@schmidthansenandst.example,United States,San Francisco,2025-09-16,Partner,SMB,51-200,Retail,Active,2025-11-28 00:00:00
CUST-000151,ACC-000151,Salazar-Ball,contact151@salazar-ball.example,Spain,Barcelona,2024-08-27,Paid Social,Startup,1001-5000,Technology,Active,2024-09-07 00:00:00
CUST-000152,ACC-000152,"Simmons, Meadows and Griffin",contact152@simmonsmeadowsandg.example,United Kingdom,Birmingham,2024-08-23,Paid Social,Mid-Market,1001-5000,Financial Services,Active,2024-10-09 00:00:00
